place,dataset,year,score,rank,isopen,exists,digital,public,online,free,machinereadable,bulk,openlicense,uptodate,url,format,licenseurl,dateavailable,officialtitle,publisher,timestamp,submitters,reviewers,details
pl,elections,2013,70,19,False,Y,Y,Y,Y,Y,Y,Y,?,Y,http://pkw.gov.pl/,None,None,"Latest update in Sept, 2013",None,None,2013-10-02T07:56:28.837Z,Gosia Klimowicz,None,"Very good source of open data, easy to navigate and process."
mt,emissions,2013,45,29,False,Y,Y,Y,Y,Y,N,N,?,Y,http://www.enemalta.com.mt/emissions/,PDF,None,None,None,None,2013-10-12T08:55:03.889Z,Charlie Abela,Charlie Abela,None
at,statistics,2013,35,54,False,Y,Y,Y,?,?,?,Y,N,Y,http://statistik.gv.at/,None,None,None,None,None,10/5/2012 13:52:27,"[u'Johann H\xf6chtl', u'Mathias Huter']","[u'Robert Harm', u'Lieke Ploeger']",Statistics Austria is currently not actively promoting OD; they plan to a OD portal (aside from http://data.gv.at) in 2014
fi,map,2013,100,1,True,Y,Y,Y,Y,Y,Y,Y,Y,Y,http://www.maanmittauslaitos.fi/tiedostopalvelu,None,None,9/5/2012,None,None,10/5/2012 15:00:33,"[u'Margit Suurhasko', u'Daniela Mattern']","[u'Daniela Mattern', u'Antti Jogi Poikola']","Currently users can download the basic, terrain map (raster) in 1:50 000 resolution. In the future other map data will be published for free download ja use. Roadmap in Finnish: http://www.maanmittauslaitos.fi/aineistot-palvelut/latauspalvelut/avoimien-aineistojen-tiedostopalvelu"
si,timetables,2013,45,13,False,Y,Y,Y,Y,Y,N,N,?,Y,http://www.ap-ljubljana.si/ http://www.slo-zeleznice.si/en/passengers/slovenia,"HTML, XML",None,None,None,None,19/02/2013 16:14:08,"[u'Marieke Guy', u'MatejaP', u'Andrew Stott']","[u'Jaka Kranjc', u'Christian Villum', u'Mor Rubinstein', u'IPMIT', u'Sander van der Waal']","There are several time tables and web sites available. For long-distance buses in Slovenia, there's a from-to query interface at http://www.ap-ljubljana.si/ . Timetables for railways are available at Slovenian Railways home page, http://www.slo-zeleznice.si/sl/potniki/slovenija/vozni-redi - available are both as a from-to query and based on route (""Vozni redi po relacijah""). There's also an XML dump of bus routes, stations and arrivals available at http://www.jpp.si/Pregled/Register.jsp (but none for trains). Timetables for city bus routes in Ljubljana are available at http://www.lpp.si/javni-prevoz/vozni-redi-mestni-potniski-promet/vozni-redi-redni . There is also a query-style web service, displaying arrival time for city buses in Ljubljana http://bus.talktrack.com/"
il,emissions,2013,35,34,False,Y,Y,Y,Y,Y,N,N,N,?,http://www.sviva.gov.il/subjectsEnv/SvivaAir/Pages/EmissionsData.aspx,HTML,None,2008,None,None,2013-10-06T00:26:28.891Z,"[u'Noam Castel', u'Ido Ivri', u'The Public Knowledge Workshop']","[u'Rayna Stamboliyska', u'Mor Rubinstein']",The Israeli Ministry for Environment Protection provides a fairly primitive system (in Hebrew) for displaying emissions data on a map. The website and the data it contains are property of the Ministry of Environmental Protection and the State of Israel.
in,companies,2013,60,8,False,Y,Y,Y,Y,Y,Y,N,N,Y,http://www.mca.gov.in/MCA21/Master_data.html,HTML,None,None,None,None,2013-10-07T18:33:20.020Z,"[u'Akhilesh Srivastava', u'Tuhin Subhro Chakraborty', u'SUSIL KUMAR Sahoo', u'Ronak Chandak', u'Subhajit Ganguly', u'Shubhadip Biswas']","[u'Mor Rubinstein', u'Laura James', u'Subhajit Ganguly']","There is unrestricted access to the basic data. The interface of the websites is user friendly. The government website while registering for a company, also suggests whether that name is available or not and the probable names that can be chosen. also http://www.mca.gov.in/MCA21/Master_data.html Info only available via search not via download or bulk view"
is,budget,2013,45,34,False,Y,Y,Y,Y,Y,N,N,N,Y,http://hamar.stjr.is/,HTML,None,None,None,None,18/04/2012 11:03:59,"[u'Mor Rubinstein', u'Tryggvi Bj\xf6rgvinsson', u'P\xe1ll Hilmarsson']","[u'Tryggvi Bj\xf6rgvinsson', u'P\xe1ll Hilmarsson']",The government budget is made available via an interactive website (and also as a printed version).
nz,budget,2013,100,1,True,Y,Y,Y,Y,Y,Y,Y,Y,Y,http://www.treasury.govt.nz/budget/2013/data,Excel,None,May 2013,None,None,2013-10-04T21:11:42.540Z,"[u'Mark Heseltine', u'Jonathan Hunt']","[u'Alex Sadleir', u'Jonathan Hunt']",None
bf,legislation,2013,45,25,False,Y,Y,Y,Y,Y,N,N,N,Y,http://www.assembleenationale.bf/spip.php?rubrique15,HTML,None,2008,None,None,9/6/2013 0:46:24,"[u'titinto', u'Saba Moustapha']","[u'Laura James', u'Idriss TINTO', u'titinto']",There are a process of opening laws initiated by the new legislature that created a direction for electronic communication.
